cod_apo,regiao,ano_modelo,tipo_franq,val_franq,is_casco,utilizacao,clas_bonus,perc_bonus,sexo,idade_condutor,exposicao,pre_casco,n_sinistros,valor_sinistro
179332801,01,2004,2,1382,12498,2,8,0,M,53.163586584531146,0.28473648186173856,506,0,0
280333017,01,2016,1,1513,53445,0,9,30,F,41.36344969199179,0.49555099247091033,1103,0,0
183350451,01,2014,1,2763,57295,2,1,0,F,47.49897330595483,0.19164955509924708,1430,0,0
171391876,01,2017,2,3934,44475,2,1,10,M,42.223134839151264,0.47638603696098564,704,0,0
168956566,01,2008,2,1623,18491,2,7,0,M,46.75154004106776,0.4134154688569473,767,0,0
140662930,01,2010,2,2389,40176,2,9,0,M,53.86721423682409,0.405201916495551,1528,0,0
42285238,01,2010,1,1503,19445,1,8,0,M,32.772073921971256,0.49555099247091033,926,0,0
198661988,01,2015,1,2386,77010,0,9,30,M,60.07939767282683,0.49555099247091033,1930,0,0
78946242,01,2016,1,2292,57298,1,0,10,F,39.181382614647504,0.49555099247091033,1302,0,0
58345622,01,2012,1,1292,19640,2,4,0,F,35.55099247091034,0.188911704312115,762,0,0
239999575,01,2016,1,2595,79899,2,9,10,M,33.70294318959617,0.35592060232717315,2607,0,0
216003854,01,2014,1,1800,50979,0,9,30,M,52.16974674880219,0.49555099247091033,918,0,0
268734984,01,2014,1,1975,39243,2,4,0,F,28.22450376454483,0.2929500342231348,1127,0,0
204717072,01,2008,2,2083,24488,2,7,0,M,43.7864476386037,0.49555099247091033,852,0,0
175462024,01,2015,2,3096,31814,2,2,0,F,51.42505133470226,0.11772758384668036,676,0,0
154488497,01,2015,2,3065,46194,1,0,30,M,40.72553045859001,0.13141683778234087,1388,0,0
111709175,01,2017,2,1712,45309,2,1,0,M,51.88774811772758,0.07118412046543464,328,0,0
52786636,01,2014,1,1641,40802,1,0,30,M,39.53730321697468,0.49555099247091033,1180,0,0
62459468,01,2016,1,1868,39352,2,9,20,F,59.279945242984255,0.47638603696098564,1444,0,0
106469044,01,2019,1,3107,93527,0,1,12,F,51.26351813826147,0.030116358658453114,1449,0,0
88386530,01,2009,1,1689,18647,2,9,0,F,46.110882956878854,0.12320328542094455,1586,1,0
81957450,01,2014,1,2494,27239,3,5,27,M,40.824093086926766,0.19164955509924708,483,0,0
45282845,01,2015,2,1938,42719,2,5,0,F,66.09993155373031,0.09034907597535935,1232,0,0
75992007,01,2015,1,2502,61569,1,0,30,M,74.32169746748802,0.16427104722792607,2182,0,0
65750454,01,2005,1,1526,15077,2,9,15,M,54.39561943874059,0.3258042436687201,657,0,0
80520417,01,2012,1,1423,27071,1,0,0,F,47.61396303901437,0.4490075290896646,145,0,0
36411216,01,2009,1,1688,18486,2,6,0,F,60.799452429842574,0.243668720054757,582,0,0
110696131,01,2014,1,1585,24141,1,0,0,M,63.17864476386037,0.4161533196440794,632,0,0
198480184,01,2014,2,3372,33400,3,4,0,M,35.52908966461328,0.4106776180698152,1916,0,0
73438888,01,2014,1,1375,44592,0,9,30,F,46.940451745379875,0.49555099247091033,726,0,0
100316378,01,2018,1,1725,67932,0,2,15,F,31.148528405201915,0.49555099247091033,1592,0,0
83326146,01,2010,1,2649,13130,2,0,0,F,27.575633127994525,0.49555099247091033,542,0,0
268554289,01,2009,1,1482,15896,0,3,20,F,34.954140999315534,0.3750855578370979,474,0,0
193220187,01,2018,1,3000,34058,3,1,0,M,34.19028062970568,0.27652292950034224,153,0,0
68266990,01,2015,1,1326,33184,2,6,30,F,37.51129363449692,0.31211498973305957,784,0,0
273903873,01,2014,1,2500,26251,1,0,0,M,69.59890485968515,0.4791238877481177,508,0,0
234598819,01,2012,1,2395,29926,2,7,40,F,83.64407939767283,0.3915126625598905,783,0,0
181606267,01,2011,1,1952,31595,2,0,0,M,33.998631074606436,0.49555099247091033,1718,0,0
128021646,01,2014,1,1949,35262,2,4,25,F,48.24093086926762,0.05475701574264202,744,0,0
191714123,01,2019,1,2024,77260,1,0,30,F,40.2299794661191,0.010951403148528405,1084,0,0
202660952,01,2017,2,1844,85717,2,9,0,M,82.35181382614647,0.49555099247091033,1598,0,0
131254230,01,2017,1,3907,47620,3,0,49,M,43.34017796030116,0.06570841889117043,438,0,0
197261800,01,2014,2,3584,38646,1,0,30,F,35.238877481177276,0.49555099247091033,1651,0,0
97192617,01,2008,2,2091,17731,2,3,0,F,45.045859000684466,0.32854209445585214,572,0,0
152955341,01,2013,2,1884,33457,2,5,0,F,34.072553045859,0.06844626967830253,731,1,84
252668347,01,2014,2,3975,38494,2,6,0,M,31.000684462696782,0.11772758384668036,1204,0,0
193645107,01,2017,1,2368,90220,1,0,0,M,32.251882272416154,0.49555099247091033,1959,0,0
238828392,01,2014,1,1225,24383,1,1,30,F,52.224503764544835,0.3586584531143053,844,0,0
52312424,01,2011,1,1384,26528,1,8,0,M,62.30527036276523,0.49555099247091033,1104,0,0
90966106,01,2015,2,3809,40632,2,1,10,M,32.355920602327174,0.33401779603011633,1156,2,96166
273673831,01,2014,1,1495,24251,1,5,30,M,58.841889117043124,0.4079397672826831,484,0,0
194513741,01,2014,2,4028,43898,2,9,0,F,40.435318275154,0.16700889801505817,1072,0,0
212006564,01,2016,1,2711,85994,0,6,31,M,36.04380561259411,0.36413415468856947,1856,0,0
220139740,01,2010,1,1208,19230,1,0,49,M,45.426420260095824,0.2929500342231348,268,0,0
46800975,01,2016,1,2733,54683,1,7,35,F,53.49486652977413,0.049281314168377825,1562,0,0
147154421,01,2013,1,1699,29970,2,7,40,M,41.83983572895277,0.49555099247091033,655,0,0
106955825,01,2004,2,3333,14247,2,1,0,M,42.51334702258727,0.49555099247091033,616,2,278
272478328,01,2009,1,2159,31501,1,6,0,F,46.770704996577685,0.2053388090349076,1898,0,0
99854587,01,2014,1,1717,36318,1,4,25,F,57.19644079397673,0.2792607802874743,1018,0,0
166686674,01,2013,2,3087,33562,1,0,10,M,42.36002737850787,0.34770704996577684,1173,0,0
201663671,01,2000,2,2533,8985,0,9,30,F,71.32922655715264,0.030116358658453114,431,0,0
110888340,01,2015,1,1408,35769,2,1,10,M,49.90006844626968,0.17796030116358658,944,0,0
271269101,01,2017,1,2711,88293,0,7,35,M,37.451060917180016,0.49555099247091033,1650,0,0
239207066,01,2018,2,1437,40466,2,4,0,F,40.11225188227242,0.12867898699520877,1035,0,0
37929246,01,2008,1,2132,19373,2,9,30,M,73.54140999315537,0.49555099247091033,894,0,0
234642075,01,2015,1,1809,52858,2,9,0,F,38.66392881587954,0.1697467488021903,1397,0,0
160448319,01,2010,2,3440,23003,2,4,25,F,41.152635181382614,0.49555099247091033,1021,0,0
262372720,01,2010,2,3369,28975,1,0,30,F,35.05544147843943,0.49555099247091033,931,0,0
144068872,01,2014,2,1355,36462,2,2,0,M,35.78918548939083,0.4736481861738535,1221,0,0
240681171,01,2011,1,1344,24681,1,3,21,F,43.49623545516769,0.4106776180698152,698,0,0
94007077,01,2016,1,1275,27745,0,2,15,M,60.219028062970565,0.49555099247091033,1174,0,0
278979438,01,2013,1,1272,23633,1,0,30,M,62.001368925393564,0.2683093771389459,854,0,0
162911821,01,2012,1,1546,22933,2,9,0,F,42.26967830253251,0.08487337440109514,1129,0,0
50373672,01,2013,2,2643,23479,1,0,30,M,36.186173853524984,0.08213552361396304,824,0,0
275217193,01,2016,1,1758,44285,2,8,0,F,36.936344969199176,0.1806981519507187,766,0,0
227340798,01,2018,2,1435,49290,2,1,0,M,31.802874743326488,0.49555099247091033,1191,0,0
146802530,01,2015,1,1240,30124,1,0,0,F,36.84325804243669,0.3613963039014374,2282,0,0
229162788,01,2013,2,2301,35742,2,1,0,M,26.729637234770706,0.36960985626283366,329,0,0
135869840,01,2014,2,1548,41196,2,4,0,M,58.83367556468173,0.34223134839151265,1120,0,0
129885409,01,2013,1,1503,31316,1,0,49,F,63.99452429842574,0.01642710472279261,1101,0,0
199774926,01,2016,1,2589,51235,1,5,27,M,44.498288843258045,0.27652292950034224,1426,0,0
238685505,01,2005,1,1200,17031,0,4,25,F,39.058179329226554,0.3915126625598905,791,0,0
49190827,01,2013,1,2425,56672,2,1,10,M,63.88774811772758,0.09582477754962354,1394,0,0
119345909,01,2013,1,1607,30434,2,3,20,F,48.648870636550306,0.42984257357973993,1052,0,0
242021026,01,2015,1,1589,40363,1,0,0,F,51.813826146475016,0.17248459958932238,1058,0,0
159888088,01,2019,1,1462,57526,1,0,0,F,33.60438056125941,0.49555099247091033,1511,0,0
229966645,01,2005,1,1879,15615,2,9,10,F,72.6132785763176,0.31759069130732376,799,0,0
283467976,01,2004,1,1265,14542,0,2,15,M,46.1492128678987,0.3203285420944558,511,0,0
138385761,01,2013,2,3534,32234,2,1,10,F,36.56673511293634,0.49555099247091033,1204,0,0
225656948,01,2018,2,1773,100328,2,1,0,M,42.403832991101986,0.49555099247091033,1902,0,0
78246888,01,2016,1,1524,40520,1,0,20,F,34.85284052019165,0.09582477754962354,902,0,0
107642706,01,2011,1,1693,22312,1,0,30,F,35.66598220396988,0.49555099247091033,903,0,0
272083750,01,2010,1,1574,21837,1,2,0,M,36.40246406570842,0.49555099247091033,1068,0,0
97396286,01,2017,1,4268,53590,2,0,0,M,58.8911704312115,0.49555099247091033,1878,0,0
187481959,01,2008,2,1832,23424,2,3,0,M,54.48049281314169,0.09034907597535935,1027,0,0
42319094,01,2011,1,1185,20900,1,0,2,F,51.64681724845996,0.49555099247091033,552,0,0
